"PREFERRED_NAME","CAS","QSAR_READY_SMILES","DTXSID","Structural Alert for genotoxic carcinogenicity","Structural Alert for S. typhimurium  mutagenicity","FG52_2","FG81_2","Cramer rules, with extensions","TTC_Class","Exposure.Total.Upper95","TTC_ug.kg.d","oed.AC50p5","NOAEL","TTC_MoE","OED_MoE","NOAEL_MoE"
"2,3,4-Trihydroxbenzophenone","1143-72-2","OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1O","DTXSID6037728","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.017082981,1.5,0.00176445857725053,NA,0.0878066890082006,0.103287510373659,NA
"Loratadine","79794-75-5","CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2","DTXSID2023224","YES","YES","YES","NO","High (Class III)","Anti-cholinesterase",0.003246471,0.3,0.620249640943727,NA,0.0924080332151435,191.053498073363,NA
"Tris(1,3-dichloro-2-propyl) phosphate","13674-87-8","ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl","DTXSID9026261","YES","YES","NO","YES","High (Class III)","Anti-cholinesterase",0.003011515,0.3,0.00829675767314053,2,0.0996176343136262,2.75501123957228,664.117562090841
"1,2-Dinitrobenzene","528-29-0","[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O","DTXSID4024066","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.01452151,1.5,0.171316847509741,0.4,0.103295043008613,11.7974540877458,27.5453448022967
"2-[(4-Hydroxyphenyl)methyl]phenol","2467-03-0","OC1=CC=C(CC2=C(O)C=CC=C2)C=C1","DTXSID2044890","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.014081835,1.5,0.725888105131731,NA,0.106520208481352,51.5478348618437,NA
"Acibenzolar-S-methyl","135158-54-2","CSC(=O)C1=CC=CC2=C1SN=N2","DTXSID1032519","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.013288429,1.5,1.99493346470812,8.2,0.112880160626964,150.125606624238,617.0782114274
"Benzo(a)pyrene","50-32-8","C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45","DTXSID2020139","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.013180502,1.5,0.105049965548965,0.15,0.113804466628054,7.97010353239692,11.3804466628054
"Acetophenone","98-86-2","CC(=O)C1=CC=CC=C1","DTXSID6021828","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.262705493,30,0.575708487439481,125,0.114196317927772,2.19145964884518,475.817991365715
"2,4,4'-Trihydroxybenzophenone","1470-79-7","OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O","DTXSID8044836","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.012489524,1.5,0.023192135918011,NA,0.120100653956068,1.85692712692741,NA
"1,4-Dichlorobenzene","106-46-7","ClC1=CC=C(Cl)C=C1","DTXSID1020431","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.012212014,1.5,0.0127089047537364,10,0.122829862461671,1.04068868195994,818.865749744473
"N-Nitrosodiphenylamine","86-30-6","O=NN(C1=CC=CC=C1)C1=CC=CC=C1","DTXSID6021030","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.011820388,1.5,0.0095739144872652,15,0.126899387735834,0.809949257779457,1268.99387735834
"Cycloate","1134-23-2","CCSC(=O)N(CC)C1CCCCC1","DTXSID6032356","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.011262207,1.5,0.0638939245037107,0.5,0.133188814590249,5.67330404277871,44.3962715300829
"Benzyl salicylate","118-58-1","OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1","DTXSID1024598","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.222418765,30,3.1002248740539,180,0.134880705771386,13.9386839687465,809.284234628315
"4-Nitrophenol","100-02-7","OC1=CC=C(C=C1)[N+]([O-])=O","DTXSID0021834","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.010912306,1.5,0.00459239219014703,13.8,0.137459488397778,0.420845253986373,1264.62729325956
"2-Hydroxy-4-methoxybenzophenone","131-57-7","COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1","DTXSID3022405","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.010470003,1.5,0.0656033583743477,200,0.143266434594145,6.26583950112982,19102.1912792193
"2,6-Dinitrotoluene","606-20-2","CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O","DTXSID5020528","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.010191364,1.5,5.29331340346858,4,0.147183438840964,519.392046390314,392.48917024257
"Dazomet","533-74-4","CN1CSC(=S)N(C)C1","DTXSID7024902","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.009977857,1.5,0.722443020688686,NA,0.150332882100836,72.4046276358426,NA
"9-Phenanthrol","484-17-3","OC1=CC2=C(C=CC=C2)C2=CC=CC=C12","DTXSID9047592","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.009739253,1.5,0.011250241538462,NA,0.154015918880021,1.15514419211227,NA
"Triethylene glycol bis(2-ethylhexanoate)","94-28-0","CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC","DTXSID3026564","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.185820268,30,0.167748114560723,120,0.16144632834132,0.902743906066928,645.785313365278
"Methyl salicylate","119-36-8","COC(=O)C1=C(O)C=CC=C1","DTXSID5025659","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.183849724,30,2.18779307903849,50,0.163176747548449,11.8998986315502,271.961245914081
"1,2,4-Trimethylbenzene","95-63-6","CC1=CC(C)=C(C)C=C1","DTXSID6021402","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.175559304,30,0.130021994800657,600,0.170882427285084,0.740615802399494,3417.64854570169
"Ethoprop","13194-48-4","CCCSP(=O)(OCC)SCCC","DTXSID4032611","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.008742863,1.5,0.0909065592025086,0.01,0.171568512511291,10.3978020932626,1.1437900834086
"N,N-Dimethyloctylamine","7378-99-6","CCCCCCCCN(C)C","DTXSID2036299","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.166321123,30,0.103009654390899,150,0.180373962482204,0.619341984546957,901.869812411019
"Butyl benzoate","136-60-7","CCCCOC(=O)C1=CC=CC=C1","DTXSID8040694","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.159016401,30,1.67831119026753,1000,0.188659784848231,10.5543276021417,6288.65949494103
"Bisphenol AF","1478-61-1","OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F","DTXSID7037717","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.007426801,1.5,0.0100606306232913,8,0.201971212100607,1.35463850765509,1077.1797978699
"Oxytetracycline hydrochloride","2058-46-0","CN(C)C1C2C(O)C3C(C(=O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(C(N)=O)C1=O","DTXSID5021097","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",0.043862458,9,0.219325702757078,NA,0.205186859341079,5.00030579127777,NA
"Sodium 4-nitrophenolate","100-02-7","OC1=CC=C(C=C1)[N+]([O-])=O","DTXSID3027320","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.007170262,1.5,25.005818150379,600,0.209197376609111,3487.43437134919,83678.9506436445
"Geranyl acetate","105-87-3","CC(C)=CCCC(C)=CCOC(C)=O","DTXSID0020654","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.138817472,30,11.6622934169594,100,0.216111124686091,84.0117115586099,720.370415620305
"Vinclozolin","50471-44-8","CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C","DTXSID4022361","NO","NO","YES","NO","High (Class III)","Anti-cholinesterase",0.001366192,0.3,0.174756661479155,2.2,0.219588461943856,127.915155028835,1610.31538758827
"Chlorthal-dimethyl","1861-32-1","COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl","DTXSID0024000","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.006499127,1.5,0.149285526629646,1,0.230800229015374,22.9700891565353,153.866819343583
"2-Naphthylamine","91-59-8","NC1=CC2=C(C=CC=C2)C=C1","DTXSID2020921","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.006080824,1.5,0.24281625233215,18.4,0.246677095077904,39.9314718419987,3025.90569962229
"Fenamiphos","22224-92-6","CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1","DTXSID3024102","NO","NO","NO","YES","High (Class III)","Anti-cholinesterase",0.001209764,0.3,0.382185245386641,0.01,0.247982251083682,315.917191606496,8.26607503612275
"Dibenzofuran","132-64-9","O1C2=CC=CC=C2C2=C1C=CC=C2","DTXSID2021993","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.005924078,1.5,0.00106444493011161,NA,0.253203958489405,0.179681113265493,NA
"Oxytetracycline dihydrate","2058-46-0","CN(C)C1C2C(O)C3C(C(=O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(C(N)=O)C1=O","DTXSID4023412","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",0.035502026,9,0.221862979582834,NA,0.253506659028417,6.24930474623714,NA
"2-Mercaptobenzothiazole","149-30-4","SC1=NC2=C(S1)C=CC=C2","DTXSID1020807","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005780336,1.5,0.224843817476956,150,0.259500485784909,38.898053240669,25950.0485784909
"4,4'-Diaminobiphenyl methane","101-77-9","NC1=CC=C(CC2=CC=C(N)C=C2)C=C1","DTXSID6022422","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.005674374,1.5,0.102828205966675,3.2,0.264346340230658,18.1215066131833,563.938859158737
"Acenaphthene","83-32-9","C1CC2=C3C1=CC=CC3=CC=C2","DTXSID3021774","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005625563,1.5,0.00174061213175736,175,0.266639978967438,0.309411188134834,31107.9975462012
"Paraoxon","311-45-5","CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O","DTXSID6024046","YES","YES","NO","YES","High (Class III)","Anti-cholinesterase",0.001103162,0.3,0.196063952175852,NA,0.271945552874374,177.729066243989,NA
"1,3-Diisopropylbenzene","99-62-7","CC(C)C1=CC(=CC=C1)C(C)C","DTXSID8026640","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.110217714,30,0.0407195522127653,150,0.272188552195884,0.369446532095243,1360.94276097942
"Propetamphos","31218-83-4","CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C","DTXSID7032470","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005501963,1.5,0.00645059237989083,0.05,0.27262996861302,1.17241653204335,9.08766562043402
"Tetrabutylammonium bromide","1643-19-2","CCCC[N+](CCCC)(CCCC)CCCC","DTXSID4044400","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005461745,1.5,0.0761578967176208,180,0.274637501384631,13.9438763101574,32956.5001661557
"Bisphenol B","77-40-7","CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID4022442","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005419182,1.5,0.00183454672428905,NA,0.276794542054502,0.33852834695145,NA
"Tetrahydrofuran","109-99-9","C1CCOC1","DTXSID1021328","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005405494,1.5,0.278608113873677,NA,0.277495451849544,51.5416562988835,NA
"N-Phenyl-1,4-benzenediamine","101-54-2","NC1=CC=C(NC2=CC=CC=C2)C=C1","DTXSID7025895","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.005347685,1.5,0.384760140652354,50,0.280495204934472,71.9489163352654,9349.84016448239
"Octanoic acid","124-07-2","CCCCCCCC(O)=O","DTXSID3021645","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.105940012,30,0.000147273085962642,200,0.2831791259378,0.00139015545856878,1887.86083958533
"Gibberellic acid","77-06-5","CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O","DTXSID0020656","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005266765,1.5,2.7560709462029,NA,0.284804809024135,523.29483966019,NA
"o-Cresol","95-48-7","CC1=C(O)C=CC=C1","DTXSID8021808","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.10530054,30,0.161978621304295,30,0.284898823880675,1.5382506234469,284.898823880675
"Laurocapram","59227-89-3","CCCCCCCCCCCCN1CCCCCC1=O","DTXSID0042086","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.005010265,1.5,1.32636186084614,NA,0.299385361852118,264.728883770846,NA
"Propachlor","1918-16-7","CC(C)N(C(=O)CCl)C1=CC=CC=C1","DTXSID4024274","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.004981033,1.5,5.23529338941424,5,0.3011423534034,1051.04571469698,1003.807844678
"Thiazopyr","117718-60-2","COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F","DTXSID1032488","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004840373,1.5,0.0105767754138494,0.8,0.309893473085649,2.18511577802978,165.276518979013
"1,4-Dioxane","123-91-1","C1COCCO1","DTXSID4020533","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004742103,1.5,13.349352556401,0.23,0.316315356288128,2815.07014006255,48.5016879641796
"Bromocriptine mesylate","22260-51-1","CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C","DTXSID6020197","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004660524,1.5,0.35756857584268,NA,0.321852220909065,76.7228268415053,NA
"3,4-Dichloronitrobenzene","99-54-7","[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1","DTXSID8024999","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.004584066,1.5,0.32619029077005,4,0.327220419601288,71.1574158770946,872.587785603436
"3-Hydroxyfluorene","6344-67-8","OC1=CC2=C(CC3=CC=CC=C23)C=C1","DTXSID9047540","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.004548122,1.5,0.0703827462656384,NA,0.329806456379138,15.4751227574015,NA
"Lactofen","77501-63-4","CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O","DTXSID7024160","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.004544014,1.5,0.000856816894745447,0.79,0.330104616755142,0.188559475112851,173.855098157708
"N,N-Dimethyldodecan-1-amine","112-18-5","CCCCCCCCCCCCN(C)C","DTXSID1026906","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.087621858,30,0.116091889497937,50,0.342380322498982,1.32491928552733,570.633870831637
"Theophylline","58-55-9","CN1C2=C(NC=N2)C(=O)N(C)C1=O","DTXSID5021336","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004313122,1.5,0.0204455010701008,30,0.347775926579401,4.74030205268962,6955.51853158802
"Acenaphthylene","208-96-8","C1=CC2=C3C1=CC=CC3=CC=C2","DTXSID3023845","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004213881,1.5,0.0688083014823251,NA,0.355966388229758,16.328961705925,NA
"Dichlobenil","1194-65-6","ClC1=CC=CC(Cl)=C1C#N","DTXSID5032365","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004130519,1.5,0.00215928961534568,1,0.363150490289477,0.522764721659841,242.100326859651
"Ethyl t-butyl ether","637-92-3","CCOC(C)(C)C","DTXSID0025604","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.082412654,30,7.64185477705911,100,0.364021767822208,92.7267161795216,1213.40589274069
"1,4-Bis(N-isopropylamino)anthraquinone","14233-37-5","CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C1=CC=CC=C1C2=O","DTXSID2041250","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.004034878,1.5,0.000198769047646663,NA,0.371758452176249,0.049262715662447,NA
"1,2-Benzisothiazolin-3-one","2634-33-5","O=C1NSC2=C1C=CC=C2","DTXSID5032523","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.004019661,1.5,0.00483558994197292,5,0.373165796817194,1.20298451585169,1243.88598939065
"Flumazenil","78755-81-4","CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1","DTXSID2023064","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003940223,1.5,30.2566793542319,NA,0.380689113281152,7678.92562279645,NA
"1,3-Diphenylguanidine","102-06-7","N=C(NC1=CC=CC=C1)NC1=CC=CC=C1","DTXSID3025178","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003884875,1.5,0.0358532724659431,5,0.386112809292448,9.22893850276859,1287.04269764149
"4-Chloroaniline","106-47-8","NC1=CC=C(Cl)C=C1","DTXSID9020295","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.003876861,1.5,0.0218805843303156,12.5,0.386910957086158,5.6438918832312,3224.25797571798
"4-Butylphenol","1638-22-8","CCCCC1=CC=C(O)C=C1","DTXSID3047425","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.077371395,30,0.290329576594046,NA,0.387740197782397,3.75241491502184,NA
"2,6-Di-tert-butylphenol","128-39-2","CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C","DTXSID6027052","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",0.022410733,9,0.00339594692065636,15,0.401593290143611,0.151532166335495,669.322150239352
"Norflurazon","27314-13-2","CN=C1C=NN(C2=CC=CC(=C2)C(F)(F)F)C(=O)C1Cl","DTXSID8024234","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003702769,1.5,0.822847210149476,1.58,0.405102235651211,222.22482962061,426.707688219276
"Decane","124-18-5","CCCCCCCCCC","DTXSID6024913","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.073167279,30,0.000260129164587807,750,0.410019347582954,0.00355526634505306,10250.4836895739
"Diazoxon","962-58-3","CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C","DTXSID5037523","YES","YES","NO","YES","High (Class III)","Anti-cholinesterase",0.000729074,0.3,3.85358128779553,NA,0.411480864768185,5285.58320252201,NA
"2,4-Dinitrophenol","51-28-5","OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","DTXSID0020523","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.003644393,1.5,0.00390270153316383,10,0.411591175814463,1.07087834192521,2743.94117209642
"Fenpropathrin","39515-41-8","CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C","DTXSID0024002","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.00355946,1.5,0.327709475334954,2.5,0.421412236687587,92.0671886564124,702.353727812646
"Chlorpropham","101-21-3","CC(C)OC(=O)NC1=CC=CC(Cl)=C1","DTXSID7020764","NO","NO","YES","NO","High (Class III)","Anti-cholinesterase",0.000690755,0.3,0.80159543976002,5,0.43430738829252,1160.4627396979,7238.45647154201
"Trichloroethylene","79-01-6","ClC=C(Cl)Cl","DTXSID0021383","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003401469,1.5,0.000405128802442691,0.005,0.440985938722358,0.11910407016577,1.46995312907453
"Tridemorph","24602-86-6","CCCCCCCCCCCCCN1CC(C)OC(C)C1","DTXSID3041376","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003384512,1.5,0.0278105393457774,31.3,0.443195355785413,8.2170012532907,9248.00975738895
"Hexyl salicylate","6259-76-3","CCCCCCOC(=O)C1=C(O)C=CC=C1","DTXSID4038924","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.06514938,30,0.840394286283904,46.9,0.460480207179255,12.8994978353425,719.884057223568
"1,​2-​Benzenediol","120-80-9","OC1=C(O)C=CC=C1","DTXSID3020257","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.064770294,30,0.17182130927287,400,0.463175294526222,2.65277951761143,6175.67059368296
"3,5-Dichloroaniline","626-43-7","NC1=CC(Cl)=CC(Cl)=C1","DTXSID7030307","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.0031854,1.5,0.763846969897221,1,0.470898474288943,239.796248476556,313.932316192629
"Flumioxazin","103361-09-7","FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2","DTXSID7032555","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.003171461,1.5,0.00959937747305453,1.8,0.47296813676725,3.02679978503741,567.5617641207
"4,4'-(9H-Fluorene-9,9-diyl)diphenol","3236-71-3","OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(O)C=C1","DTXSID5037731","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.00314371,1.5,0.00702319767585682,NA,0.477143247945898,2.23404756668294,NA
"2,4-Dinitrotoluene","121-14-2","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","DTXSID0020529","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.003077645,1.5,0.0122007959091931,0.1,0.487385647142539,3.96432853990408,32.4923764761693
"Carbendazim","10605-21-7","COC(=O)NC1=NC2=CC=CC=C2N1","DTXSID4024729","NO","NO","YES","NO","High (Class III)","Anti-cholinesterase",0.000608885,0.3,2.53998324015696,2.5,0.492703876758337,4171.5319644218,4105.86563965281
"Oryzalin","19044-88-3","CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O","DTXSID8024238","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.003023053,1.5,0.0240946271082426,4.56,0.496187132676801,7.97029595850374,1508.40888333747
"Phenolphthalin","81-90-3","OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID5022439","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.003015455,1.5,0.00250091968988736,NA,0.497437368489996,0.829367272894924,NA
"4,4'-Methylenebis(2,6-diethylaniline)","13680-35-8","CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N","DTXSID4048191","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002976707,1.5,0.0471242407467324,10,0.503912544969995,15.8309973896431,3359.41696646664
"Mesotrione","104206-82-8","CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O","DTXSID7032424","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.002965271,1.5,0.846637172936627,0.09,0.505855957178956,285.517638332762,30.3513574307374
"4-Anilinophenol","122-37-2","OC1=CC=C(NC2=CC=CC=C2)C=C1","DTXSID5037739","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002931487,1.5,1.21839043942238,NA,0.511685707628927,415.621982776106,NA
"Resorcinol","108-46-3","OC1=CC(O)=CC=C1","DTXSID2021238","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.058553993,30,0.0125123317158049,32,0.512347637845979,0.213688786617932,546.504147035711
"Clodinafop-propargyl","105512-06-9","CC(OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C","DTXSID6032354","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002919155,1.5,0.220948951136725,0.031,0.513847329107225,75.6893522737659,10.619511468216
"Simvastatin","79902-63-9","CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12","DTXSID0023581","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002916862,1.5,0.0265218411522166,NA,0.51425127414324,9.09259373676802,NA
"Bendiocarb","22781-23-3","CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2","DTXSID9032327","NO","NO","YES","NO","High (Class III)","Anti-cholinesterase",0.000562461,0.3,1.19059699250492,0.125,0.533370313675081,2116.76363784319,222.237630697951
"Etridiazole","2593-15-9","CCOC1=NC(=NS1)C(Cl)(Cl)Cl","DTXSID3032547","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002771227,1.5,0.0192165429858448,2.5,0.541276481500794,6.93430851599121,902.12746916799
"4,4'-Methylenebis(o-toluidine)","838-88-0","CC1=C(N)C=CC(CC2=CC(C)=C(N)C=C2)=C1","DTXSID5020867","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.002733614,1.5,0.458943675059808,NA,0.548724143203832,167.888983250674,NA
"2,4,5-Trichlorophenol","95-95-4","OC1=C(Cl)C=C(Cl)C(Cl)=C1","DTXSID4024359","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002711805,1.5,0.0772686725984387,100,0.553137117159973,28.4934472052521,36875.8078106649
"Fenoxycarb","72490-01-8","CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1","DTXSID7032393","YES","YES","YES","NO","High (Class III)","Anti-cholinesterase",0.000513694,0.3,0.145838254946597,NA,0.584005263834111,283.901028523979,NA
"Octhilinone","26530-20-1","CCCCCCCCN1SC=CC1=O","DTXSID1025805","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002559195,1.5,0.0142653286924701,NA,0.586121807834104,5.57414682838554,NA
"Isoxaflutole","141112-29-0","CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1=C(ON=C1)C1CC1","DTXSID5034723","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002489193,1.5,0.124027820810399,1.76,0.602604940637387,49.8265183978898,707.056463681201
"Clofibrate","637-07-0","CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1","DTXSID3020336","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002455136,1.5,0.0404035213310143,250,0.61096411767006,16.4567345071777,101827.35294501
"Bentazone","25057-89-0","CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2","DTXSID0023901","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002426649,1.5,0.00107722134631325,3.2,0.618136368300484,0.443913127243885,1318.69091904103
"Aldicarb","116-06-3","CNC(=O)ON=CC(C)(C)SC","DTXSID0039223","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002393169,1.5,0.00412265235274495,0.01,0.626783983914216,1.72267497729786,4.17855989276144
"2,4,6-Trichlorophenol","88-06-2","OC1=C(Cl)C=C(Cl)C=C1Cl","DTXSID5021386","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002329194,1.5,0.0799729746286872,3,0.643999598144251,34.3350423488499,1287.9991962885
"Pioglitazone hydrochloride","112529-15-4","CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1","DTXSID3044203","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002311071,1.5,0.0216860975973024,NA,0.64904972629573,9.38357047330107,NA
"1,2-Diphenoxyethane","104-66-5","C(COC1=CC=CC=C1)OC1=CC=CC=C1","DTXSID5026706","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002276418,1.5,0.103824091457157,1000,0.658929950474825,45.608535627972,439286.633649883
"8-Hydroxyquinoline","148-24-3","OC1=CC=CC2=CC=CN=C12","DTXSID5020730","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002253922,1.5,0.210328519541811,97.7,0.665506614692079,93.3166806756449,43346.6641702774
"4,4'-Sulfonyldiphenol","80-09-1","OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1","DTXSID3022409","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.002195925,1.5,0.00842655390225345,10,0.68308343864203,3.83735961030247,4553.88959094687
