DTXSID,CASRN,Name,pod.nam.95,pod.nam.50,pod.ratio.95,pod.ratio.50,ber.95,ber.50,ber.95.pod.50,ber.50.pod.50,log.AED.5,log.AED.50,log.AED.95,log.AED.hipptox.50,log.AED.hipptox.95,log.max.AED,log.expo.50,log.expo.95,log.p5.POD,log.p95.POD,log.min.pod,log.max.pod,log.med.pod,AED_5,AED_50,AED_95,AED_hipptox_50,AED_hipptox_95,max_AED,min.POD,mean.POD,med.POD,max.POD,p5.POD,p95.POD,expocast.total.med,expocast.total.95,log.ttc.mkd,ttc.label,pod.ratio.95.binary,pod.ratio.50.binary,ttc.ratio.95,ttc.ratio.50,log.hed.5,hed.pod.ratio.95,hed.pod.ratio.50
DTXSID9023914,141-66-2,Dicrotophos,0.420851929,0.801055848,-2.119821934,-2.500025852,4.71584397,6.408014705,5.096047889,6.788218623,1.106064065,0.801055848,0.420851929,,,1.18026676,-5.987162775,-4.294992041,-1.698970004,0.957128198,-1.698970004,0.957128198,0.152288344,12.76627117,6.324931812,2.635432695,,,15.14491221,0.02,2.147333333,1.42,9.06,0.02,9.06,0.00000103,0.0000507,-5.602059991,0.0025,0,0,6.022911921,6.403115839,-2.48945499,-2.910306919,-3.290510838
DTXSID5034723,141112-29-0,Isoxaflutole,-1.389912376,-0.535583198,1.690942371,0.836613194,4.185205988,6.212147616,5.039535165,7.066476793,0.009253874,-0.535583198,-1.389912376,,,0.779233853,-7.602059991,-5.575118363,0.301029996,2.875061263,0.245512668,2.990027899,2.617000341,1.021536464,0.291351194,0.040746248,,,6.014975366,1.76,320.298169,414,977.3,2,750,0.000000025,0.00000266,-2.823908741,1.5,1,1,1.433996365,2.288325543,-0.544972318,0.844940058,-0.009389119
DTXSID4032580,141517-21-7,Trifloxystrobin,-1.012136458,0.120040937,1.635385748,0.503208353,4.577930419,6.635681024,5.710107814,7.767858419,0.678926032,0.120040937,-1.012136458,,,1.141141312,-7.647817482,-5.590066877,0.62324929,2.790988475,0.545307116,2.790988475,2.394451681,4.774479491,1.318381006,0.097244163,,,13.84016642,3.51,293.2047727,248,618,4.2,618,2.25E-08,0.00000257,-2.823908741,1.5,1,1,1.811772283,2.943949678,-0.167235695,0.844900762,-0.287276633
DTXSID2032552,142459-58-3,Flufenacet,0.547906006,1.19971297,-0.46872476,-1.120531724,5.669384211,7.476023999,6.321191174,8.127830962,1.653664515,1.19971297,0.547906006,,,1.763293984,-6.928117993,-5.121478204,0.079181246,2.915927212,0.056904851,3.054613055,1.697229343,45.04685908,15.83846064,3.531067391,,,57.9821058,1.14,124.3194079,49.8,1134,1.2,824,0.000000118,0.00000756,-2.823908741,1.5,0,0,3.371814747,4.023621711,-0.711303739,-1.259209746,-1.911016709
DTXSID5024051,1445-75-6,Diisopropyl methylphosphonate,-0.490288271,-0.132849017,2.365349534,2.00791028,5.011401176,7.073549082,5.36884043,7.430988336,0.19377746,-0.132849017,-0.490288271,,,1.033792832,-7.563837353,-5.501689446,1.875061263,2.663437066,1.875061263,2.663437066,2.417853505,1.562346864,0.736463086,0.323378937,,,10.80918207,75,264.795,261.73,460.72,75,460.72,2.73E-08,0.00000315,-5.602059991,0.0025,1,1,5.111771721,5.469210975,1.608258528,2.098546799,1.741107545
DTXSID2034673,144550-36-7,Iodosulfuron-methyl-sodium,-2.859691026,-1.778056478,3.720029032,2.638394484,2.771093117,4.693150943,3.852727665,5.774785491,-1.116835746,-1.778056478,-2.859691026,,,-0.419333824,-7.552841969,-5.630784143,0.860338007,3.117602692,0.860338007,3.117602692,2.478566496,0.076412473,0.016670304,0.001381367,,,0.380773026,7.25,404.6776786,301,1311,7.25,1311,0.000000028,0.00000234,-2.823908741,1.5,1,1,-0.035782285,1.045852263,0.593535272,3.453226297,2.371591749
DTXSID4034364,144651-06-9,Oxasulfuron,-0.225323135,0.349468296,0.401414394,-0.173377037,4.959099116,6.616314373,5.533890548,7.191105804,0.864207918,0.349468296,-0.225323135,,,0.897032423,-6.841637508,-5.184422252,0.176091259,3.110252917,0.113943352,3.140193679,2.898176483,7.314892,2.235981964,0.595219108,,,7.889190136,1.3,663.8322917,791,1381,1.5,1289,0.000000144,0.00000654,-2.823908741,1.5,1,0,2.598585606,3.173377037,-0.152859383,0.072463753,-0.502327679
DTXSID7024081,145-73-3,Endothal,-0.284060501,0.094798264,0.585090497,0.206231732,5.152458413,6.880248927,5.531317179,7.259107692,0.408088401,0.094798264,-0.284060501,,,1.085550095,-7.164309429,-5.436518915,0.301029996,0.301029996,0.301029996,0.301029996,0.301029996,2.559106743,1.243936651,0.519923561,,,12.17727447,2,2,2,2,2,2,6.85E-08,0.00000366,-2.823908741,1.5,1,1,2.53984824,2.918707005,0.034227261,0.318287762,-0.060571003
DTXSID4034528,145701-21-9,Diclosulam,-2.585502266,-1.499348117,3.293072442,2.206918293,2.44136988,4.131196505,3.527524029,5.217350654,-0.900618222,-1.499348117,-2.585502266,,,-0.628230001,-6.716698771,-5.026872146,0.707570176,3,0.707570176,3,2.709609121,0.12571346,0.031670279,0.002597154,,,0.235380239,5.1,527.2236842,512.4,1000,5.1,1000,0.000000192,0.0000094,-2.823908741,1.5,1,1,0.238406475,1.324560624,-0.082914809,2.502587457,1.416433308
DTXSID9047251,145742-28-5,CP-122721,-1.332698253,-0.930536846,2.633728248,2.231566842,3.452457899,5.223256951,3.854619306,5.625418358,-0.614750686,-0.930536846,-1.332698253,,,0.373289871,-6.555955204,-4.785156152,1.301029996,3,1.301029996,3,2.176091259,0.242800353,0.117344612,0.046483813,,,2.362054268,20,234.673913,150,1000,20,1000,0.000000278,0.0000164,-2.823908741,1.5,1,1,1.491210488,1.893371895,1.034227261,2.366925513,1.964764107
DTXSID4020537,147-24-0,Diphenhydramine hydrochloride,-1.012255911,-0.603935851,2.18834717,1.78002711,2.698057052,4.477199078,3.106377112,4.885519139,-0.29345324,-0.603935851,-1.012255911,,,0.885414278,-5.48945499,-3.710312963,1.176091259,2.301029996,1.176091259,2.301029996,2,0.508799599,0.248922497,0.097217419,,,7.680938332,15,101.6,100,200,15,200,0.00000324,0.000194844,-2.823908741,1.5,1,1,1.81165283,2.21997289,0.385606274,1.397862185,0.989542125
DTXSID5020730,148-24-3,8-Hydroxyquinoline,-0.263929291,0.261770872,2.253823854,1.728123692,4.88849805,6.71488141,5.414198213,7.240581573,0.647719887,0.261770872,-0.263929291,,,2.122353825,-6.978810701,-5.152427341,1.989894564,2.597695186,1.989894564,2.597695186,2.155336037,4.443445795,1.827135989,0.544591313,,,132.5420933,97.7,178.9142857,143,396,97.7,396,0.000000105,0.00000704,-2.823908741,1.5,1,1,2.55997945,3.085679613,1.199409578,1.463338869,0.937638706
DTXSID0021337,148-79-8,Thiabendazole,-1.740848603,-1.366760324,2.713976457,2.339888178,3.595450471,5.434374934,3.96953875,5.808463213,-1.04079994,-1.366760324,-1.740848603,,,0.290547326,-7.175223538,-5.336299075,0.973127854,2.602059991,-0.273272791,2.77815125,2.026328939,0.091033253,0.042977354,0.018161487,,,1.952303469,0.533,162.0384762,106.25,600,9.4,400,6.68E-08,0.00000461,-2.823908741,1.5,1,1,1.083060138,1.457148417,0.182642868,1.923491471,1.549403192
DTXSID6034928,148477-71-8,Spirodiclofen,-1.138553162,0.033994676,1.751337018,0.578789181,3.957814322,5.754236869,5.13036216,6.926784706,0.534508825,0.033994676,-1.138553162,,,0.841277206,-6.89279003,-5.096367484,0.612783857,3.174641193,0.139879086,3.214843848,1.908485019,3.423803447,1.081420694,0.072685342,,,6.938685551,1.38,352.3497196,81,1640,4.1,1495,0.000000128,0.00000801,-2.823908741,1.5,1,1,1.685355579,2.857903417,-0.126923648,1.011629513,-0.160918324
DTXSID5032525,149877-41-8,Bifenazate,-0.269652558,0.248101492,0.223895068,-0.293858983,5.370511959,7.475074936,5.88826601,7.992828987,0.681993761,0.248101492,-0.269652558,,,2.26479109,-7.744727495,-5.640164518,-0.045757491,1.545307116,-0.045757491,1.552668216,1.187520721,4.808324403,1.77052267,0.537461601,,,183.988674,0.9,15.72798,15.4,35.7,0.9,35.1,0.000000018,0.00000229,-5.602059991,0.0025,1,0,5.332407433,5.850161483,-0.312560225,-0.042907667,-0.560661717
DTXSID7034252,149979-41-9,Tepraloxydim,-0.305236878,0.3298723,1.365934718,0.730825541,5.389411753,7.409205813,6.02452093,8.044314991,0.797580914,0.3298723,-0.305236878,,,1.066066343,-7.714442691,-5.694648631,1.06069784,3.163161375,0.77815125,3.171433901,2.394451681,6.274525868,2.137333534,0.495180031,,,11.64303874,6,302.1873134,248,1484,11.5,1456,1.93E-08,0.00000202,-5.602059991,0.0025,1,1,5.296823114,5.931932291,0.624488363,0.92972524,0.294616063
DTXSID0020311,150-68-5,Monuron,0.597801236,1.070179538,0.976230031,0.503851729,6.439438744,8.500891223,6.911817046,8.973269525,1.533532322,1.070179538,0.597801236,,,1.459340413,-7.903089987,-5.841637508,1.574031268,3.875061263,1.574031268,3.875061263,2.77815125,34.16113737,11.75383361,3.960967111,,,28.7965469,37.5,2425,600,7500,37.5,7500,1.25E-08,0.00000144,-2.823908741,1.5,1,1,3.421709977,3.894088279,0.783546282,0.185745046,-0.286633256
DTXSID5024211,15299-99-7,Napropamide,-2.610314941,-1.473839098,3.689496187,2.553020344,3.117843453,5.151638956,4.254319296,6.288114799,-0.779568714,-1.473839098,-2.610314941,,,-0.175967234,-7.761953897,-5.728158393,1.079181246,2,1.079181246,2,1.653212514,0.166123582,0.033586202,0.002452929,,,0.666857079,12,44.625,45,100,12,100,1.73E-08,0.00000187,-2.823908741,1.5,1,1,0.2135938,1.350069643,0.288696261,2.899011201,1.762535358
DTXSID8034586,153233-91-1,Etoxazole,-0.821311591,0.226412204,1.5480388,0.500315005,4.308870201,6.038809323,5.356593996,7.086533118,0.723221182,0.226412204,-0.821311591,,,1.046767872,-6.860120914,-5.130181792,0.726727209,2.943692327,0.26245109,3,2.477699928,5.287144527,1.684271904,0.150899711,,,11.13699108,1.83,337.2230882,300.4,1000,5.33,878.4,0.000000138,0.00000741,-2.823908741,1.5,1,1,2.00259715,3.050320945,0.459924474,1.281236065,0.23351227
DTXSID2034962,153719-23-4,Thiamethoxam,0.981060048,1.331560995,-0.373605025,-0.724105972,6.693258318,8.730640045,7.043759265,9.081140993,1.633561993,1.331560995,0.981060048,1.779007528,1.452446782,1.254125825,-7.749579998,-5.71219827,0.607455023,3.065579715,0.149219113,3.477121255,2.249198357,43.00926228,21.45660445,9.573264269,60.11841589,28.34306301,17.95253676,1.41,377.4367024,177.5,3000,4.05,1163,1.78E-08,0.00000194,-2.823908741,1.5,0,0,3.804968789,4.155469736,0.340652288,-0.640407759,-0.990908707
DTXSID1021031,156-10-5,4-Nitrosodiphenylamine,-1.305439682,-0.952049373,3.402349695,3.048959386,3.594189772,5.498660665,3.947580081,5.852050974,-0.608082783,-0.952049373,-1.305439682,,,0.06334222,-6.804100348,-4.899629455,2.096910013,3.130333768,2.096910013,3.130333768,2.397940009,0.246556932,0.111673628,0.049494885,,,1.157023607,125,535.1,250,1350,125,1350,0.000000157,0.0000126,-5.602059991,0.0025,1,1,4.296620309,4.650010618,1.306425028,2.61186471,2.258474401
DTXSID9032581,156052-68-5,Zoxamide,-2.987083455,-1.999029764,4.68605346,3.697999768,2.67247243,4.688634089,3.660526121,5.676687781,-1.565070357,-1.999029764,-2.987083455,,,-1.551070538,-7.675717545,-5.659555885,1.698970004,3.124178055,1.681241237,3.124178055,3.010405973,0.027222603,0.010022365,0.001030188,,,0.028114442,48,741.1076923,1024.25,1331,50,1331,2.11E-08,0.00000219,-5.602059991,0.0025,1,1,2.614976536,3.603030227,1.432167269,4.419250725,3.431197033
DTXSID9020249,1563-66-2,Carbofuran,-1.621694851,-1.250209536,1.320664855,0.94917954,2.142219042,3.983853468,2.513704358,4.355338784,-0.92297238,-1.250209536,-1.621694851,,,0.678238977,-5.605548319,-3.763913893,-0.301029996,1.096910013,-0.602059991,1.096910013,0.602059991,0.119406404,0.056207008,0.023894896,,,4.766932219,0.25,6.283823529,4,12.5,0.5,12.5,0.00000248,0.000172221,-3.522878745,0.3,1,1,1.901183894,2.27266921,-0.790484985,0.831209865,0.45972455
DTXSID5020732,15687-27-1,Ibuprofen,-2.086381527,-0.996204915,3.688441519,2.598264907,3.354909902,5.505378507,4.445086514,6.595555119,-0.399863113,-0.996204915,-2.086381527,,,-0.257897596,-7.591760035,-5.441291429,1.602059991,2.255272505,1.602059991,2.255272505,2.255272505,0.398232671,0.10087768,0.008196312,,,0.552207632,40,125.4545455,180,180,40,180,2.56E-08,0.00000362,-1.522878745,30,1,1,-0.563502782,0.52667383,0.987666265,3.074047792,1.98387118
DTXSID9020370,1596-84-5,Daminozide,0.205152164,0.559017486,-0.122366794,-0.476232115,6.402378439,8.205152164,6.75624376,8.559017486,0.85681113,0.559017486,0.205152164,,,1.032885196,-8,-6.197226275,0.08278537,3.255272505,-0.301029996,3.255272505,3.149680882,7.191361647,3.622575833,1.603807221,,,10.78661545,0.5,945.8536667,1411.5,1800,1.21,1800,0.00000001,0.000000635,-5.602059991,0.0025,0,0,5.807212156,6.161077477,-0.707699615,-0.91285178,-1.266717101
DTXSID1022265,15972-60-8,Alachlor,0.034548048,0.637146476,-0.034548048,-0.637146476,5.415454718,7.173611428,6.018053145,7.776209855,1.099367612,0.637146476,0.034548048,,,1.662637559,-7.139063379,-5.380906669,0,2.176091259,-0.301029996,2.602059991,1.653212514,12.57093589,4.336571143,1.082799505,,,45.98726263,0.5,71.71527778,45,400,1,150,7.26E-08,0.00000416,-5.602059991,0.0025,0,0,5.63660804,6.239206467,-0.392544977,-0.427093025,-1.029691452
DTXSID6022341,1610-18-0,Prometon,-2.067682262,-0.835679316,2.017072269,0.785069322,3.211331994,4.979041401,4.44333494,6.211044348,-0.180310396,-0.835679316,-2.067682262,,,-0.303359911,-7.046723663,-5.279014256,-0.050609993,2.867467488,-0.050609993,2.867467488,1.84509804,0.66022141,0.145989185,0.008556925,,,0.497324768,0.89,200.7511111,70,737,0.89,737,8.98E-08,0.00000526,-2.823908741,1.5,1,1,0.756226479,1.988229425,-0.841094979,1.226587283,-0.005415663
DTXSID3032628,161050-58-4,Methoxyfenozide,-1.316201763,-0.489743055,3.341917147,2.515458439,3.87491237,5.646371739,4.701371078,6.472830447,-0.014645217,-0.489743055,-1.316201763,,,1.041686075,-6.962573502,-5.191114133,2.025715384,3.903089987,1.840733235,3.903089987,3.01911629,0.966840385,0.323785164,0.048283444,,,11.00743363,69.3,1651.877778,1045,8000,106.1,8000,0.000000109,0.00000644,-5.602059991,0.0025,1,1,4.285858229,5.112316936,1.540131682,2.856333445,2.029874737
DTXSID2034590,161326-34-7,Fenamidone,-0.70072721,0.070665484,1.673855063,0.90246237,5.117429202,7.081788846,5.888821896,7.85318154,0.571708272,0.070665484,-0.70072721,,,0.873462867,-7.782516056,-5.818156412,0.973127854,3.037306951,0.451786436,3.138356389,2.484982782,3.729995192,1.17669927,0.199192412,,,7.47244741,2.83,432.6609608,305.48,1375.17,9.4,1089.7,1.65E-08,0.00000152,-5.602059991,0.0025,1,1,4.901332782,5.672725475,0.182642868,0.883370078,0.111977384
DTXSID9020790,1634-78-2,Malaoxon,0.648276659,1.033844314,-0.648276659,-1.033844314,5.871575475,7.599058637,6.25714313,7.984626291,1.461531619,1.033844314,0.648276659,,,2.91393646,-6.950781977,-5.223298816,0,2.149219113,0,2.149219113,1.832508913,28.94220522,10.81046348,4.449146017,,,820.2315299,1,65.1,68,141,1,141,0.000000112,0.00000598,-3.522878745,0.3,0,0,4.171155404,4.556723059,-0.790484985,-1.438761645,-1.824329299
DTXSID1022267,16752-77-5,Methomyl,-1.640229494,-1.2160671,2.038169502,1.614007109,3.882649252,5.635494637,4.306811645,6.05965703,-0.783340874,-1.2160671,-1.640229494,,,1.415870052,-7.27572413,-5.522878745,0.397940009,2.10720997,-0.602059991,2.10720997,1.397940009,0.164686927,0.060804105,0.022896574,,,26.05373865,0.25,46.40961538,25,128,2.5,128,0.000000053,0.000003,-2.823908741,1.5,1,1,1.183679247,1.60784164,-0.392544977,1.247684517,0.823522124
DTXSID3022162,1689-84-5,Bromoxynil,0.654655676,1.269511256,-1.177534421,-1.792390002,5.89878082,7.7156359,6.513636401,8.33049148,1.730281088,1.269511256,0.654655676,,,1.982722781,-7.060980224,-5.244125144,-0.522878745,1.662757832,-0.522878745,1.662757832,0.698970004,53.73794917,18.59992771,4.51497839,,,96.09986575,0.3,12.44057391,5,46,0.3,46,8.69E-08,0.0000057,-2.823908741,1.5,0,0,3.478564417,4.093419997,-0.78968148,-1.444337156,-2.059192736
DTXSID3034872,1698-60-8,Chloridazon,-0.545649196,-0.16902592,1.800921701,1.424298425,5.357440791,7.364445693,5.734064067,7.741068969,0.174938114,-0.16902592,-0.545649196,,,0.893375342,-7.910094889,-5.903089987,1.255272505,2.961895474,1.255272505,2.961895474,2.881954971,1.49602246,0.677601066,0.284675967,,,7.82303624,18,466.9454545,762,916,18,916,1.23E-08,0.00000125,-5.602059991,0.0025,1,1,5.056410796,5.433034072,0.46478752,1.010436715,0.633813439
DTXSID9029221,1702-17-6,Clopyralid,-3.762315326,-3.349222804,4.938406585,4.525314063,2.315998198,4.216495375,2.729090721,4.629587897,-3.048072199,-3.349222804,-3.762315326,,,0.824230575,-7.978810701,-6.078313525,1.176091259,3.698970004,1.176091259,3.698970004,3,0.000895216,0.000447484,0.000172856,,,6.671608837,15,1197.777778,1000,5000,15,5000,1.05E-08,0.000000835,-2.823908741,1.5,1,1,-0.938406585,-0.525314063,0.385606274,4.1479216,3.734829077
DTXSID7034753,173159-57-4,Foramsulfuron,-1.469853914,-1.095343611,4.470721636,4.096211332,3.49672233,5.320631071,3.871232634,5.695141374,-0.747513022,-1.095343611,-1.469853914,,,0.376829093,-6.790484985,-4.966576245,3.000867722,3.000867722,3.000867722,3.000867722,3.000867722,0.17884919,0.080289063,0.033895815,,,2.381382145,1002,1002,1002,1002,1002,1002,0.000000162,0.0000108,-5.602059991,0.0025,1,1,4.132206077,4.50671638,1.90935274,3.379206655,3.004696351
DTXSID1032690,173584-44-6,Indoxacarb,-1.671453096,-0.563994316,1.972483092,0.865024311,3.170184412,5.034080678,4.277643192,6.141539458,0.086906827,-0.563994316,-1.671453096,,,0.547935964,-6.705533774,-4.841637508,0.301029996,2.698970004,0.017033339,3,1.096910013,1.221537566,0.27290135,0.021308207,,,3.531310973,1.04,64.05504902,12.5,1000,2,500,0.000000197,0.0000144,-3.522878745,0.3,1,1,1.851425649,2.95888443,-0.560036064,1.111417032,0.003958252
DTXSID7032638,175013-18-0,Pyraclostrobin,-1.119897297,-0.157815427,1.651376214,0.689294344,4.572606665,6.570472536,5.534688535,7.532554406,0.312251318,-0.157815427,-1.119897297,,,1.415032548,-7.690369833,-5.692503962,0.531478917,2.677150521,0.531478917,2.802636918,1.397940009,2.052349491,0.695319763,0.075875699,,,26.00354439,3.4,93.31830986,25,634.8,3.4,475.5,2.04E-08,0.00000203,-3.522878745,0.3,1,1,2.402981449,3.365063319,-0.259006068,0.860891228,-0.101190642
DTXSID3031864,1763-23-1,Perfluorooctanesulfonic acid,-2.700430816,-1.668177822,1.177552071,0.145299077,0.828845655,2.69211416,1.861098649,3.724367155,-1.208419874,-1.668177822,-2.700430816,,,-1.442153148,-5.392544977,-3.529276471,-1.522878745,0.397940009,-1.522878745,0.397940009,0.397940009,0.061884249,0.021469512,0.001993284,,,0.036128244,0.03,1.755,2.5,2.5,0.03,2.5,0.00000405,0.000295613,-2.823908741,1.5,1,1,0.123477924,1.155730919,-0.091514981,2.608915835,1.576662841
DTXSID5023900,17804-35-2,Benomyl,-1.128618512,0.047147568,2.225528525,1.049762445,4.164663705,5.858544263,5.340429786,7.034310344,0.644203149,0.047147568,-1.128618512,,,0.343206734,-6.987162775,-5.293282218,1.096910013,2.875061263,0.698970004,2.979548375,2.742725131,4.407609891,1.114673222,0.07436721,,,2.203975357,5,421.1203704,553,954,12.5,750,0.000000103,0.00000509,-3.522878745,0.3,1,1,2.394260233,3.570026314,0.830107278,1.95872579,0.78295971
DTXSID5047320,180084-01-9,SB236057A,-1.5559733,-0.438136849,3.033094555,1.915258104,2.791780359,4.854077099,3.90961681,5.97191355,0.225066385,-0.438136849,-1.5559733,,,-0.048198624,-6.410050399,-4.347753659,1.477121255,1.477121255,1.477121255,1.477121255,1.477121255,1.679060656,0.364639029,0.027798842,,,0.894955365,30,30,30,30,30,30,0.000000389,0.0000449,-2.823908741,1.5,1,1,1.267935441,2.385771892,0.686636269,2.242609569,1.124773118
DTXSID9022312,1806-26-4,4-Octylphenol,-0.809494607,0.367385826,0.90640462,-0.270475813,4.177668168,6.04128628,5.354548602,7.218166714,0.950084666,0.367385826,-0.809494607,,,0.480934943,-6.850780887,-4.987162775,0.096910013,2,0.096910013,2,2,8.914247054,2.330160449,0.155062004,,,3.02646003,1.25,77.5,100,100,1.25,100,0.000000141,0.0000103,-2.045757491,9,1,0,1.236262884,2.413143317,-0.693574972,0.115919635,-1.060960799
DTXSID9034864,181274-15-7,Propoxycarbazone-sodium,-2.912980779,-1.959013621,4.700441253,3.746474096,2.748562727,4.703203855,3.702529885,5.657171013,-1.538992021,-1.959013621,-2.912980779,,,-1.269725796,-7.616184634,-5.661543506,1.787460475,3.274365706,1.633468456,3.274365706,2.965671971,0.02890733,0.010989714,0.001221854,,,0.053737097,43,885.955,924,1880.9,61.3,1880.9,2.42E-08,0.00000218,-2.823908741,1.5,1,1,-0.089072038,0.86489512,0.996975489,3.909956268,2.95598911
DTXSID9027441,1843-05-6,Octabenzone,0.509465398,1.269908391,1.365595865,0.605152873,2.858424081,4.628080742,3.618867074,5.388523734,1.727263887,1.269908391,0.509465398,2.104141248,1.324808945,1.672566557,-4.118615343,-2.348958683,1.875061263,3,1.875061263,3,2.352182518,53.36590605,18.61694393,3.231955693,127.0987408,21.12559475,47.05075064,75,477.5,225,1000,75,1000,0.0000761,0.004477559,-2.823908741,1.5,1,1,3.333374139,4.093817132,1.084576278,0.57511088,-0.185332113
DTXSID0024000,1861-32-1,Chlorthal-dimethyl,-0.702638626,0.508701182,0.702638626,-0.508701182,4.517044062,6.236663534,5.72838387,7.448003342,1.052064535,0.508701182,-0.702638626,,,0.583538787,-6.93930216,-5.219682688,0,3.397940009,0,3.397940009,2.504470862,11.27364966,3.22627351,0.198317653,,,3.832999717,1,857.34375,319.5,2500,1,2500,0.000000115,0.00000603,-2.823908741,1.5,1,0,2.121270115,3.332609923,-0.790484985,-0.08784636,-1.299186168
DTXSID3023899,1861-40-1,Benfluralin,-0.720718328,0.429295866,1.419688332,0.269674139,4.473780814,6.196496302,5.623795007,7.346510495,1.044484733,0.429295866,-0.720718328,,,0.682889259,-6.91721463,-5.194499142,0.698970004,2.781238221,-0.301029996,3,2.603144373,11.07859621,2.687174475,0.190231167,,,4.818249211,0.5,317.4988462,401,1000,5,604.28,0.000000121,0.00000639,-5.602059991,0.0025,1,1,4.881341664,6.031355857,0.066847511,0.787565839,-0.362448355
DTXSID6034392,188425-85-6,Boscalid,-1.753273073,-0.572741537,3.091729567,1.911198031,3.984275837,5.934973066,5.164807373,7.115504602,0.030101353,-0.572741537,-1.753273073,,,0.478323864,-7.688246139,-5.73754891,1.338456494,3.128722284,0.880813592,3.181271772,2.868644438,1.0717694,0.267459767,0.017649277,,,3.008318845,7.6,679.1077922,739,1518,21.8,1345,2.05E-08,0.00000183,-2.823908741,1.5,1,1,1.070635668,2.251167204,0.571242851,2.324515924,1.143984388
DTXSID3034618,188489-07-8,Flufenpyr-ethyl,-1.617062144,-0.562982202,3.293298361,2.239218419,3.50269608,5.252604087,4.556776022,6.306684029,-0.144285706,-0.562982202,-1.617062144,,,1.693858664,-6.869666232,-5.119758224,1.676236217,3.156549151,1.600972896,3.156549151,3.040404529,0.717322237,0.273538082,0.024151152,,,49.41498455,39.9,886.115,1097.5,1434,47.45,1434,0.000000135,0.00000759,-5.602059991,0.0025,1,1,3.984997847,5.039077789,0.783256656,2.4003188,1.346238858
DTXSID0020319,1897-45-6,Chlorothalonil,-2.339513033,-1.940511064,2.691695551,2.292693582,2.166332373,4.195104116,2.565334342,4.594106084,-1.606216652,-1.940511064,-2.339513033,-0.83449563,-1.188889064,0.457411748,-6.534617149,-4.505845406,0.352182518,3,-0.045757491,3.301029996,2.113943352,0.024761865,0.011468033,0.00457601,0.146387627,0.064730794,2.866894742,0.9,267.3584513,130,2000,2.25,1000,0.000000292,0.0000312,-2.823908741,1.5,1,1,0.484395708,0.883397677,-0.313363731,2.026149302,1.627147333
DTXSID8024238,19044-88-3,Oryzalin,-1.960357948,-0.746063621,2.659327952,1.445033625,3.247951403,4.942732039,4.46224573,6.157026366,-0.130415513,-0.746063621,-1.960357948,,,0.060966597,-6.903089987,-5.208309351,0.698970004,2.716837723,-0.647817482,3.05804623,2.285557309,0.740601328,0.179447073,0.010955748,,,1.15071188,0.225,240.2134483,193,1143,5,521,0.000000125,0.00000619,-5.602059991,0.0025,1,1,3.641702044,4.85599637,0.350023058,2.310381005,1.096086678
DTXSID9020112,1912-24-9,Atrazine,-1.630229752,-1.234289969,2.174297796,1.778358013,3.733282352,5.574585658,4.129222135,5.970525441,-0.902474586,-1.234289969,-1.630229752,,,0.180278968,-7.20481541,-5.363512104,0.544068044,2.586249639,0.51851394,2.683677299,1.531478917,0.125177252,0.058305568,0.02342989,,,1.514533794,3.3,61.91990099,34,482.7,3.5,385.7,6.24E-08,0.00000433,-5.602059991,0.0025,1,1,3.97183024,4.367770022,0.038818787,1.669048539,1.273108756
DTXSID4024018,1918-00-9,Dicamba,-3.655368927,-3.245059043,4.132490182,3.722180298,2.269084112,4.186268581,2.679393995,4.596578465,-2.910444773,-3.245059043,-3.655368927,,,0.52616736,-7.841637508,-5.924453039,0.477121255,2.622214023,0.477121255,2.622214023,2.138302698,0.001229009,0.000568776,0.000221122,,,3.358670189,3,200.8684211,137.5,419,3,419,1.44E-08,0.00000119,-2.823908741,1.5,1,1,-0.831460186,-0.421150302,0.607455023,4.26282395,3.852514066
DTXSID1021160,1918-02-1,Picloram,-0.498047148,-0.082316058,1.799077144,1.383346053,4.88811103,6.642814554,5.303842121,7.058545645,0.211458966,-0.082316058,-0.498047148,,,0.823789059,-7.140861703,-5.386158178,1.301029996,3,0.84509804,3,2.301029996,1.627267557,0.827339848,0.31765292,,,6.664829741,7,328.673913,200,1000,20,1000,7.23E-08,0.00000411,-2.823908741,1.5,1,1,2.325861592,2.741592683,0.578295305,1.076342454,0.660611363
DTXSID7024376,1929-77-7,Vernolate,-0.363125257,0.743658112,0.363125257,-0.743658112,4.961096401,6.757778863,6.067879771,7.864562233,1.305044107,0.743658112,-0.363125257,,,0.214299492,-7.12090412,-5.324221658,0,0,0,0,0,20.18571361,5.541892694,0.433385865,,,1.63794567,1,1,1,1,1,1,7.57E-08,0.00000474,-5.602059991,0.0025,1,0,5.238934734,6.345718104,-0.790484985,-0.427359728,-1.534143098
DTXSID0024216,1929-82-4,Nitrapyrin,-2.314173031,-1.06252695,3.013143036,1.761496954,2.926159124,4.759999394,4.177805205,6.011645475,-0.433939973,-1.06252695,-2.314173031,,,0.118851907,-7.074172425,-5.240332155,0.698970004,2.903089987,0.477121255,2.903089987,1.875061263,0.368179859,0.086591059,0.004850952,,,1.31477642,3,246.0857143,75,800,5,800,8.43E-08,0.00000575,-2.823908741,1.5,1,1,0.50973571,1.761381791,0.21031852,2.524491551,1.27284547
